ensembl	HUGO	ID
ENSG00000116251	RPL22	231
ENSG00000234619	RPL7P11	292
ENSG00000224315	RPL7P7	293
ENSG00000238173	RPL39P6	378
ENSG00000215520	RPS4XP4	663
ENSG00000233072	RPS15AP6	678
ENSG00000142676	RPL11	757
ENSG00000117676	RPS6KA1	861
ENSG00000229994	RPL5P4	1145
ENSG00000230451	RPS29P6	1193
ENSG00000142937	RPS8	1426
ENSG00000234093	RPS15AP11	1432
ENSG00000225447	RPS15AP10	1469
ENSG00000229554	RPL21P24	1533
ENSG00000228929	RPS13P2	1643
ENSG00000236776	RPL21P23	1748
ENSG00000236888	RPS20P5	1760
ENSG00000223416	RPS26P15	1764
ENSG00000234088	RPS15AP7	1816
ENSG00000229133	RPS7P4	1935
ENSG00000227207	RPL31P12	1982
ENSG00000229752	RPL7P10	2095
ENSG00000237959	RPL36AP10	2192
ENSG00000232393	RPL5P6	2236
ENSG00000122406	RPL5	2270
ENSG00000137970	RPL7P9	2356
ENSG00000226128	RPL26P9	2365
ENSG00000235045	RPL7P8	2542
ENSG00000228453	RPS15AP9	2745
ENSG00000236804	RPS3AP12	2771
ENSG00000227056	RPL6P2	2773
ENSG00000268074	RPL22P5	2879
ENSG00000236806	RPL7AP15	2982
ENSG00000177954	RPS27	3314
ENSG00000231837	RPS7P2	3318
ENSG00000224203	RPS23P10	3672
ENSG00000231586	RPS23P9	3678
ENSG00000213075	RPL31P11	3681
ENSG00000232341	RPL4P2	3776
ENSG00000237049	RPL34P1	3811
ENSG00000213063	RPL29P7	3832
ENSG00000230364	RPL4P3	3894
ENSG00000225713	RPL30P1	3946
ENSG00000213051	RPL5P5	4150
ENSG00000231022	RPS3AP9	4200
ENSG00000237213	RPL23AP22	4250
ENSG00000231333	RPL34P6	4325
ENSG00000227887	RPS26P13	4565
ENSG00000220749	RPL21P28	4629
ENSG00000136643	RPS6KC1	4663
ENSG00000228646	RPL31P13	4664
ENSG00000232134	RPS15AP12	4729
ENSG00000238183	RPS27P5	4870
ENSG00000231940	RPS7P3	5044
ENSG00000236863	RPL23AP23	5090
ENSG00000229795	RPS21P1	5095
ENSG00000237991	RPL35P1	5131
ENSG00000217327	RPS7P5	5159
ENSG00000235467	RPL10AP5	5205
ENSG00000171863	RPS7	5455
ENSG00000223640	RPL30P3	5518
ENSG00000233747	RPL36AP13	5760
ENSG00000227770	RPL7P12	6036
ENSG00000213553	RPLP0P6	6041
ENSG00000235369	RPL36AP15	6205
ENSG00000234253	RPL7P13	6227
ENSG00000143947	RPS27A	6291
ENSG00000237024	RPL21P33	6360
ENSG00000227361	RPS24P7	6388
ENSG00000229920	RPS4XP5	6428
ENSG00000233971	RPS20P10	6613
ENSG00000224627	RPL37P10	6781
ENSG00000213400	RPL12P18	6797
ENSG00000233158	RPS24P6	7052
ENSG00000071082	RPL31	7224
ENSG00000233707	RPL22P11	7382
ENSG00000236330	RPL5P9	7418
ENSG00000226928	RPS14P4	7427
ENSG00000230391	RPSAP23	7527
ENSG00000230993	RPL12P15	7601
ENSG00000214064	RPL6P5	7952
ENSG00000230559	RPL17P12	7959
ENSG00000234272	RPL30P2	8020
ENSG00000238069	RPLP0P7	8063
ENSG00000230282	RPL7P61	8159
ENSG00000233934	RPL21P38	8258
ENSG00000234415	RPL5P7	8294
ENSG00000231541	RPS6P2	8432
ENSG00000232430	RPL31P15	8475
ENSG00000224019	RPL21P32	8498
ENSG00000232568	RPL23AP35	8501
ENSG00000226242	RPS17P8	8589
ENSG00000232994	RPL7P14	8782
ENSG00000213917	RPL5P8	8948
ENSG00000197756	RPL37A	8989
ENSG00000231035	RPL7L1P9	9014
ENSG00000223903	RPL23P4	9117
ENSG00000237322	RPL7L1P10	9219
ENSG00000233445	RPL17P11	9352
ENSG00000231546	RPL3P5	9397
ENSG00000231660	RPS8P6	9553
ENSG00000238075	RPSAP32	9556
ENSG00000214074	RPL23AP39	9563
ENSG00000214073	RPL21P17	9564
ENSG00000144713	RPL32	9736
ENSG00000227578	RPS3AP53	9783
ENSG00000215016	RPL24P7	9872
ENSG00000174748	RPL15	9886
ENSG00000229756	RPL31P20	9891
ENSG00000227523	RPS20P15	9927
ENSG00000226216	RPS12P5	9952
ENSG00000235670	RPL21P40	9977
ENSG00000237676	RPL30P4	9997
ENSG00000224858	RPL29P11	10050
ENSG00000235482	RPL21P135	10067
ENSG00000232439	RPL18AP7	10091
ENSG00000168028	RPSA	10113
ENSG00000188846	RPL14	10128
ENSG00000234067	RPL5P10	10133
ENSG00000234270	RPL36P20	10150
ENSG00000227123	RPL12P44	10238
ENSG00000224094	RPS24P8	10243
ENSG00000162244	RPL29	10506
ENSG00000229806	RPS15P5	10580
ENSG00000226360	RPL10AP6	10663
ENSG00000223409	RPL17P17	10713
ENSG00000214560	RPL21P41	10725
ENSG00000244674	RPS3AP15	10839
ENSG00000241367	RPL7AP23	10892
ENSG00000244048	RPS18P6	10958
ENSG00000218754	RPL18AP8	10967
ENSG00000250562	RPL38P4	11005
ENSG00000114391	RPL24	11064
ENSG00000242829	RPS26P21	11277
ENSG00000242445	RPL7AP11	11325
ENSG00000240622	RPL7P15	11377
ENSG00000242229	RPS3AP14	11418
ENSG00000239483	RPS15AP16	11494
ENSG00000241673	RPS27P12	11514
ENSG00000251474	RPL32P3	11525
ENSG00000242899	RPL7P16	11586
ENSG00000214289	RPL39P5	11626
ENSG00000242321	RPL23AP40	11689
ENSG00000251137	RPL7L1P7	11699
